product_tmpl_id.bigcommerce_product_id,Product Code/SKU,Part Number,Brand Name,Current Stock Level,Product Condition
26373,45518,311-D050ST2911,AMP,0,New
26374,45519,8TBV-06-476,TE Connectivity / Buchanan Bra,60,New
25339,45520,8STR-08,AMP,60,New
65298,45521,HFR050RA29JS1,AMP,60,New
26376,45522,1437397-5,TE Connectivity / Buchanan Bra,10,New
65374,45523,TB502,AMP,60,New
26378,45524,RNG-91104,AMP,75,New
26379,45525,BPCV-04,TE Connectivity / Buchanan Bra,60,New
26380,45526,FPCZ-SPFC-S-11M-T,ADC,60,New
26381,45527,AB20F8,AMP,60,New
26382,45528,8STR-03-004,21814,60,New
26383,45529,A8D40RA29E,AMP,10,New
26384,45530,A7D36DS29C2,AMP,60,New
26385,45531,C1D30145511201,AMP,60,New
26386,45532,3M710-BD1-25,3M,0,New
79768,45533,MT4LC1M16E5DJ-5Z,MT,60,New
79831,45534,MT58L32L32FT-8.5A,MT,60,New
26387,45535,MT55L512L18FT-12A,MT,60,New
79783,45536,MT4LC4M4E8DJ-6Z,MT,60,New
26316,45537,L4940V5,ST Microelectronics,60,New
64989,45538,31-BU,AMP,60,New
26389,45539,7506,International Rectifier(IR),60,New
26390,45540,IR6224,International Rectifier(IR),60,New
24842,45541,36315,21958,60,New
57779,45542,SFH615A-1,Unbranded,60,New
26391,45543,SAB82538H-10,INFINEON,30,New
26063,45544,XCB56012BU95,MOTOROLA,60,New
26392,45545,LZNQZ-UA-DC48,OMRON,60,New
77192,45546,MC74HC244ADW,MOTOROLA,61,New
65786,45547,CY7C1021V33-12ZC,CYPRESS,61,New
62963,45548,MT4LC8M8E1TG-5,3,61,New
66039,45549,PKF4621S1,Ericss,61,New
24740,45550,FS40N15D,International Rectifier(IR),61,New
26394,45551,P40P47A14P1-120,P&B,61,New
71761,45552,P2114A-4,Intel - Intel,61,New
63977,45553,AM29F800BB-90SC,ADVANCED MICRO DEVICES,62,New
26395,45554,MBM29DL324BD-90PFTN,FUJITSU,62,New
85433,45555,UC2842AN,ONSEMI,62,New
26396,45556,IR21362,International Rectifier(IR),62,New
26397,45557,W28-XT1A-15,AMP,62,New
101189,45558,V53C16258SHK-50,VISHEY,63,New
101726,45559,W981616AH-7,WIN,63,New
26398,45560,V23826-K305-C63-B1,SIEMENS,0,New
25522,45561,PRD-60871,COAXICON / AMP,63,New
26399,45562,HFR040PF29JS1,AMP,63,New
26400,45563,208BR,21814,70,New
65629,45564,30302,BOCSH,0,New
59589,45565,LW016FA81,21020,34,New
26402,45566,6TK2-6,21814,64,New
26403,45567,CD90-V0695-4C,QUALCOM,64,New
26404,45568,MT48LC2M8A1DJ-10S,MT,64,New
26405,45569,10A,MICRO*,65,New
26406,45570,IDT74FCT3807PY,INTEGRATED DEVICE TECHNOLOGY,65,New
26407,45571,R27V1602D,21483,65,New
26408,45572,NP2511A-1PQ,21363,65,New
72794,45573,IRFPS43N50K,International Rectifier(IR),65,New
26409,45574,HTT109758,BERG/FCI,65,New
26410,45575,IRF540NS,International Rectifier(IR),65,New
24914,45576,MT28M4001VG5.0MBD,MT,65,New
79624,45577,MT46V16M8TG-8A,MT,65,New
26411,45578,MT46V32M4TG-8A,MT,65,New
25412,45579,MT55L128L36F1T-11A,MT,65,New
79814,45580,MT58L128L18FT-10A,MT,65,New
26412,45581,MT4LC16M463DJ-5F,MT,65,New
58359,45582,C1620,Unbranded,65,New
26413,45583,MT48LC16M4A2TG-75C,MT,65,New
64965,45584,269110-2,AMP,66,New
26414,45585,IRFBA34N50C,International Rectifier(IR),66,New
72800,45586,L2203NS,International Rectifier(IR),66,New
94388,45587,SN74ALS374ADW,TEXAS INTRUMENTS,66,New
25322,45588,S40016LK7TW-75AL,22144,66,New
25588,45589,MT58L256L18PB-7.5A,MT,66,New
24573,45590,RCC-NB6555-P01,21829,0,New
26417,45591,6100-31,PULSE JACK,67,New
57780,45592,SC1175CSW,Unbranded,67,New
26418,45593,143-15,Unbranded,67,New
26419,45594,GCM-16039,AMP,65,New
26420,45595,CY7C425-15JC,CYPRESS,0,New
26421,45596,AM29F400BB-90SI,ADVANCED MICRO DEVICES,68,New
26422,45597,IR2110-2,International Rectifier(IR),0,New
26423,45598,78227M120,BERG/FCI,60,New
26424,45599,IR15ETH06,International Rectifier(IR),68,New
57781,45600,MC100KPT22D,Unbranded,0,New
